authors;year;title;journal;url
Tilton, J. C., R. E. Wolfe, G. Lin, and J. J. Dellomo;2019;On-Orbit Measurement of the Effective Focal Length and Band-to-Band Registration of Satellite-Borne Whiskbroom Imaging Sensors;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;https://ieeexplore.ieee.org/document/8926456
Lin, G., R. E. Wolfe, P. Zhang, et al.;2019;Thirty-six combined years of MODIS geolocation trending;Earth Observing Systems XXIV;http://dx.doi.org/10.1117/12.2529447
Carr, J. L., D. L. Wu, R. E. Wolfe, et al.;2019;Joint 3D-Wind Retrievals with Stereoscopic Views from MODIS and GOES;Remote Sensing;http://dx.doi.org/10.3390/rs11182100
Pahlevan, N., S. Sarkar, S. Devadiga, et al.;2017;Impact of Spatial Sampling on Continuity of MODIS–VIIRS Land Surface Reflectance Products: A Simulation Approach;IEEE Transactions on Geoscience and Remote Sensing;http://dx.doi.org/10.1109/tgrs.2016.2604214
Wolfe, R. E., M. Nishihama, G. Lin, K. P. Tewari, and E. Montano;2012;MODIS and VIIRS geometric performance comparison;Geoscience and Remote Sensing Symposium (IGARSS), 2012 IEEE International;http://dx.doi.org/10.1109/IGARSS.2012.6352484
Wang, D., D. Morton, J. Masek, et al.;2012;Impact of sensor degradation on the MODIS NDVI time series;Remote Sensing of Environment;http://dx.doi.org/10.1016/j.rse.2011.12.001
Nishihama, M., and R. E. Wolfe;2011;MODIS and VIIRS geolocation error and long-term trend analysis with automated correction techniques using Kalman filtering;2011 IEEE International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2011.6050109 
Wolfe, R. E., and M. Nishihama;2011;Accurate MODIS global geolocation through automated ground control image matching;Image Registration for Remote Sensing;http://dx.doi.org/10.1017/cbo9780511777684.022
Masuoka, E. J., D. Roy, R. E. Wolfe, et al.;2011;MODIS Land Data Products: Generation, Quality Assurance and Validation;Land Remote Sensing and Global Environmental Change;http://dx.doi.org/10.1007/978-1-4419-6749-7_22 
Xiong, J., R. E. Wolfe, W. Barnes, et al.;2011;Terra and Aqua MODIS Design, Radiometry, and Geometry in Support of Land Remote Sensing;Land Remote Sensing and Global Environmental Change;http://dx.doi.org/10.1007/978-1-4419-6749-7_7
Wolfe, R. E., and M. Nishihama;2009;Trends in MODIS geolocation error analysis;Earth Observing Systems XIV;http://dx.doi.org/10.1117/12.826598
Wolfe, R., M. Nishihama, and J. Kuyper;2006;Improving Satellite Moderate Resolution Instrument Geolocation Accuracy in Rough Terrain;2006 IEEE International Symposium on Geoscience and Remote Sensing;https://ieeexplore.ieee.org/document/4241437
Wolfe, R. E.;2006;MODIS Geolocation;Earth Science Satellite Remote Sensing;http://dx.doi.org/10.1007/978-3-540-37293-6_4
Salomonson, V., and R. Wolfe;2003;MODIS geolocation approach, results and the future;IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data;http://dx.doi.org/10.1109/warsd.2003.1295225
Wolfe, R. E., M. Nishihama, A. J. Fleig, et al.;2002;Achieving sub-pixel geolocation accuracy in support of MODIS land science;Remote Sensing of Environment;http://dx.doi.org/10.1016/S0034-4257(02)00085-8
Nishihama, M., R. Wolfe, A. Fleig, and J. Kuyper;2002;MODIS geolocation error analysis developments;IEEE International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2002.1027283
Yang, K., and R. Wolfe;2001;MODIS level 2 grid with the ISIN map projection;IGARSS 2001. Scanning the Present and Resolving the Future. Proceedings. IEEE 2001 International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.2001.978332
Kai Yang, A. Fleig, R. Wolfe, and M. Nishihama;2000;MODIS band-to-band registration;IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings;http://dx.doi.org/10.1109/igarss.2000.861735
Wolfe, R., M. Nishihama, A. Fleig, J. Unger, and D. Roy;2000;The MODIS operational geolocation error analysis and reduction early results;IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings;http://dx.doi.org/10.1109/igarss.2000.858273
Nisihama, M., R. Wolfe, A. Fleig, J. Blanchette, and J. Kuyper;2000;MODIS geolocation algorithm and error analysis tools;IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings;http://dx.doi.org/10.1109/igarss.2000.858269
Fleig, A., J. Blanchette, J. Kuyper, et al.;2000;Resources for developing algorithms and processing Level 1A and geolocation information;IGARSS 2000. IEEE 2000 International Geoscience and Remote Sensing Symposium. Taking the Pulse of the Planet: The Role of Remote Sensing in Managing the Environment. Proceedings;http://dx.doi.org/10.1109/igarss.2000.858263
Wolfe, R. E., M. Nishihama, A. J. Fleig, and D. Roy;1999;The MODIS operational geolocation error analysis and reduction methodology;IEEE 1999 International Geoscience and Remote Sensing Symposium;http://dx.doi.org/10.1109/igarss.1999.773529
Fleig, A., P. Hubanks, J. Storey, and R. Wolfe;1995;Geolocation of data from the Earth Observing System's MODIS instrument: an analysis of location accuracy;1995 International Geoscience and Remote Sensing Symposium, IGARSS '95. Quantitative Remote Sensing for Science and Applications;http://dx.doi.org/10.1109/igarss.1995.519668
